Frame No,Object Name and Class,Object Count
343,,0
344,,0
345,,0
346,,0
347,,0
348,,0
349,,0
350,,0
351,,0
352,,0
353,,0
354,,0
355,,0
356,,0
357,,0
358,,0
359,,0
360,,0
361,,0
362,,0
363,,0
364,,0
365,,0
366,,0
367,,0
368,,0
369,,0
370,,0
371,,0
372,,0
373,,0
374,,0
375,,0
376,,0
377,,0
378,,0
379,,0
380,,0
381,,0
382,,0
383,,0
384,,0
385,,0
386,,0
387,person (0),1
388,person (0),1
389,person (0),1
390,person (0),1
391,person (0),1
392,person (0),1
393,person (0),1
394,person (0),1
395,person (0),1
396,,0
397,,0
398,,0
399,,0
400,,0
401,,0
402,,0
403,person (0),1
404,,0
405,,0
406,,0
407,,0
408,person (0),1
409,person (0),1
410,person (0),1
411,person (0),1
412,person (0),1
413,person (0),1
414,person (0),1
415,person (0),1
416,person (0),1
417,person (0),1
418,person (0),1
419,person (0),1
420,person (0),1
421,person (0),1
422,person (0),1
423,person (0),1
424,person (0),1
425,person (0),1
426,person (0),1
427,,0
428,,0
429,,0
430,,0
431,person (0),1
432,,0
433,,0
434,,0
435,person (0),1
436,person (0),1
437,person (0),1
438,person (0),1
439,person (0),1
440,person (0),1
441,person (0),1
442,person (0),1
443,person (0),1
444,person (0),1
445,person (0),1
446,,0
447,,0
448,,0
449,,0
450,,0
451,,0
452,,0
453,,0
454,,0
455,,0
456,,0
457,,0
458,,0
459,,0
460,,0
461,,0
462,,0
463,,0
464,tank (1),1
465,,0
466,,0
467,,0
468,,0
469,,0
470,,0
471,tank (1),1
472,tank (1),1
473,,0
474,tank (1),1
475,,0
476,tank (1),1
477,tank (1),1
478,tank (1),1
479,tank (1),1
480,tank (1),1
481,tank (1),1
482,,0
483,tank (1),1
484,tank (1),1
485,tank (1),1
486,tank (1),1
487,tank (1),1
488,,0
489,tank (1),1
490,tank (1),1
491,tank (1),1
492,,0
493,tank (1),1
494,tank (1); tank (1),2
495,tank (1); tank (1),2
496,tank (1),1
497,tank (1); person (0),2
498,tank (1); person (0),2
499,tank (1),1
500,tank (1),1
501,person (0),1
502,,0
503,person (0),1
504,,0
505,,0
506,tank (1),1
507,tank (1),1
508,tank (1); person (0),2
509,tank (1),1
510,,0
511,person (0); tank (1),2
512,person (0); tank (1),2
513,person (0); tank (1),2
514,person (0),1
515,person (0); tank (1),2
516,person (0); tank (1),2
517,person (0),1
518,person (0),1
519,,0
520,,0
521,,0
522,,0
523,,0
524,,0
525,,0
526,,0
527,,0
528,,0
529,,0
530,tank (1),1
531,tank (1),1
532,tank (1),1
533,tank (1),1
534,tank (1),1
535,tank (1),1
536,tank (1),1
537,tank (1),1
538,tank (1),1
539,tank (1),1
540,tank (1),1
541,tank (1),1
542,,0
543,,0
544,,0
545,,0
546,,0
547,,0
548,,0
549,,0
550,,0
551,,0
552,,0
553,,0
554,tank (1),1
555,,0
556,,0
557,tank (1),1
558,tank (1),1
559,tank (1),1
560,tank (1),1
561,tank (1),1
562,tank (1),1
563,tank (1); tank (1),2
564,tank (1); tank (1),2
565,tank (1),1
566,tank (1),1
567,tank (1),1
568,tank (1),1
569,tank (1),1
570,tank (1),1
571,tank (1),1
572,tank (1),1
573,tank (1),1
574,tank (1),1
575,tank (1),1
576,,0
577,tank (1),1
578,,0
579,,0
580,,0
581,,0
582,,0
583,tank (1),1
584,tank (1),1
585,,0
586,tank (1),1
587,tank (1),1
588,tank (1),1
589,tank (1),1
590,tank (1),1
591,tank (1),1
592,tank (1),1
593,tank (1),1
594,tank (1),1
595,tank (1),1
596,tank (1),1
597,tank (1),1
598,tank (1),1
