Frame No,Object Name and Class,Object Count
17,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
18,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
19,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),18
20,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),18
21,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),18
22,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
23,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
24,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
25,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
26,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),18
27,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),18
28,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),18
29,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),21
30,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),22
31,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),21
32,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),21
33,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),23
34,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),23
35,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),23
36,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),23
37,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),23
38,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),23
39,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),23
40,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),23
41,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),23
42,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),22
43,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),22
44,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),21
45,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
46,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
47,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
48,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
49,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
50,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
51,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
52,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),21
53,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),21
54,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),21
55,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
56,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
57,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
58,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
59,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
60,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
61,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
62,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
63,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
64,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
65,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
66,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),21
67,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
68,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
69,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
70,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
71,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
72,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
73,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
74,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
75,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
76,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
77,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
78,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
79,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),18
80,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),18
81,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),18
82,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),18
83,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),18
84,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),18
85,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
86,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
87,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
88,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),18
89,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
90,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
91,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
92,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
93,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
94,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
95,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),22
96,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),21
97,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
98,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),21
99,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),21
100,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
101,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
102,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
103,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
104,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
105,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
106,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
107,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),19
108,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
109,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
110,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
111,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),21
112,0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0); 0 (0),20
